dataset_name	architecture	run	num_caps	cos_word0	cos_word1	cos_word2	cos_word3	cos_word4	cos_word5	cos_word6	cos_word7	cos_word8	cos_word9	cos_word10	cos_word11	cos_word12	cos_word13	cos_word14	cos_word15	cos_word16	cos_word17	cos_word18	cos_word19	cos_word20	euc_word0	euc_word1	euc_word2	euc_word3	euc_word4	euc_word5	euc_word6	euc_word7	euc_word8	euc_word9	euc_word10	euc_word11	euc_word12	euc_word13	euc_word14	euc_word15	euc_word16	euc_word17	euc_word18	euc_word19	euc_word20	meanerr_word0	meanerr_word1	meanerr_word2	meanerr_word3	meanerr_word4	meanerr_word5	meanerr_word6	meanerr_word7	meanerr_word8	meanerr_word9	meanerr_word10	meanerr_word11	meanerr_word12	meanerr_word13	meanerr_word14	meanerr_word15	meanerr_word16	meanerr_word17	meanerr_word18	meanerr_word19	meanerr_word20
flickr30k	par	2	57	0.20853508669	0.280044683762	0.218609818241	0.193822256829	0.205259576178	0.205377414561	0.213844502181	0.212387232404	0.219934955501	0.224600870881	0.214519745948	0.214139981228	0.225103133603	0.223427054129	0.215565102142	0.228169389461	0.228619657065	0.205395519733	0.211411299413	0.246305677974	0.186245392289	4.27880260401	5.21281518016	5.10019605202	5.01391328009	5.12043891037	5.16793179512	5.25003165529	5.27257987909	5.30791293529	5.36100292206	5.31983022104	5.33557993069	5.41456993003	5.40870770237	5.33907723845	5.39717340469	5.37029968228	5.27303941626	5.32017321754	5.5652688428	5.14630500057	0.000747886	0.000938691	0.000903925	0.000885887	0.000914451	0.000923095	0.000941352	0.000944766	0.000955675	0.000966392	0.000956577	0.000961381	0.000978711	0.000980493	0.000966023	0.00097771	0.000979986	0.000948519	0.0009594	0.00101476	0.000921181
flickr30k	merge	2	57	0.542517867005	0.515392514174	0.481617176742	0.473026125577	0.479413398002	0.46694533919	0.474353935112	0.468279010371	0.480363370034	0.471105308386	0.466549234955	0.470388655077	0.474892232502	0.474024043794	0.475294953376	0.479570693614	0.487945196921	0.47582376683	0.470712542534	0.476349208439	0.465152626498	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	9.17283894354	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497	0.00125497
flickr30k	init	3	57	0.384564319201	0.407118319942	0.32880085393	0.282151181447	0.281131910128	0.272666303735	0.264518331017	0.266814581658	0.259929618815	0.261742990268	0.267749541684	0.250663480215	0.261896648951	0.249453169212	0.241496803468	0.256636704792	0.244405161393	0.215218654327	0.226357933199	0.259159433214	0.195486576934	10.2237356444	10.2195975402	9.76750428902	9.30807918161	9.06679006416	9.05617848313	9.04582627646	9.10719446702	8.9438971341	8.94248680528	9.11845636636	9.00692750006	8.93323886366	8.76245132364	8.63133335955	8.60018165744	8.47802379906	8.226957596	8.30184614635	8.76357347258	8.02686373625	0.00065655	0.00065711	0.000609868	0.00056805	0.000548329	0.000547044	0.000545992	0.000550928	0.000539995	0.000541278	0.000556096	0.00054724	0.000544308	0.000531223	0.000521923	0.000521109	0.000512737	0.00049003	0.000497003	0.000538928	0.000478622
flickr30k	pre	3	57	0.440801981248	0.426845679419	0.327555528858	0.288046984296	0.281777979512	0.274784514779	0.264395001688	0.256570338157	0.262276530789	0.263216012403	0.258526264575	0.244411801037	0.252206185931	0.239395591251	0.22761976928	0.246746612745	0.235312123048	0.208115675993	0.218294441177	0.243427243149	0.187389101898	5.8275930144	5.71820430758	5.66987972313	5.5145809109	5.4253872521	5.43712430411	5.38444750369	5.37731977183	5.37308006395	5.34907944196	5.40641851174	5.30596156275	5.25460465989	5.16344701183	5.05165215291	5.08180845889	5.02960607891	4.90441965409	4.90036434001	5.02890203255	4.80661933505	0.000372274	0.000368543	0.000365845	0.000356056	0.000351056	0.000352364	0.000349707	0.000349025	0.000349011	0.000348126	0.000353544	0.00034668	0.000343029	0.000336804	0.000329463	0.000332573	0.000329078	0.000319831	0.000319949	0.000331195	0.000314918
flickr30k	par	3	57	0.213598022335	0.285990961811	0.209147505593	0.187111903701	0.20378612008	0.205624687044	0.209138117338	0.209214726038	0.216627799105	0.215404809044	0.214652129433	0.210158266519	0.222358814457	0.219619477527	0.208927346949	0.22454024616	0.223827210435	0.201274616676	0.210243674747	0.238434509227	0.179388141423	4.2457970845	5.16759624223	4.98951072324	4.94127913503	5.0652846195	5.15828437837	5.18367293351	5.21259841195	5.23518027447	5.21638740504	5.25954985672	5.26872787418	5.29184285988	5.28472093493	5.20871156689	5.30293388345	5.32396650112	5.20461292116	5.26659352083	5.47461336725	5.05343524341	0.000730594	0.000927317	0.000885422	0.0008711	0.0009062	0.000923581	0.000933811	0.000938503	0.000948587	0.000944261	0.00095392	0.000952381	0.00096107	0.000961227	0.000946008	0.000965815	0.000969974	0.00094257	0.000953481	0.00100062	0.000912278
flickr30k	merge	3	57	0.534632568297	0.507355415507	0.469018016991	0.467939931573	0.471520029662	0.458526366635	0.471014732332	0.464796154123	0.476100698898	0.469274348334	0.464202440622	0.47237225269	0.476734429598	0.471721857263	0.472314311747	0.476377493457	0.487133798369	0.472430148668	0.470743261408	0.472856590622	0.462273426223	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	9.20280013754	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593	0.00124593
flickr8k	init	1	8	0.259396664798	0.279306903481	0.283382244408	0.273430071771	0.275153636932	0.276894032955	0.279216058552	0.278216317296	0.260440886021	0.266619898379	0.25600399822	0.253107398748	0.245695836842	0.230525620282	0.226757608354	0.213206164539	0.212676927447	0.20901145041	0.199718520045	0.220855236053	0.218373194337	12.8773622513	13.2176818848	12.6300183535	12.1546463966	11.9046901464	11.9146814346	11.7348385453	11.5598494411	11.1945542693	10.9932186007	10.8483271003	10.8156659007	10.8043562174	10.6064249277	10.4576609731	10.3075361848	10.2592124939	10.1281058788	10.0522198677	10.2202033997	10.1750786304	0.000818085	0.00083235	0.000776111	0.0007286	0.000707573	0.000705122	0.000694241	0.000682694	0.000657419	0.000644835	0.000630431	0.000626905	0.000627015	0.000606975	0.000599731	0.00058082	0.000575987	0.000566148	0.000558121	0.000582597	0.000580981
flickr8k	pre	1	8	0.432419417426	0.499893127009	0.399351753294	0.341771021485	0.33894161135	0.301696307957	0.317567460239	0.312398940325	0.296420589089	0.285856224597	0.28602110222	0.26216596365	0.277765743434	0.268103633076	0.25808929652	0.243987135589	0.235900521278	0.226731427014	0.203742265701	0.211933515966	0.190065279603	7.02510476112	7.34424543381	7.11090284586	6.77099150419	6.7771204114	6.81889015436	6.83690923452	6.79788696766	6.59489488602	6.38557165861	6.34546887875	6.16321390867	6.20866948366	6.16708827019	6.08419591188	6.03527772427	5.95666319132	5.76537898183	5.64680212736	5.70633867383	5.41101557016	0.000461326	0.000489366	0.000473101	0.00044896	0.000447763	0.000448873	0.000452581	0.000450088	0.000435227	0.000423462	0.000421762	0.000408194	0.00041299	0.000409357	0.000404431	0.000402601	0.000396768	0.000382293	0.000372782	0.000378674	0.000357855
flickr8k	par	1	8	0.209419697523	0.390062861145	0.321215678006	0.305858612061	0.351955268532	0.301349416375	0.322085693479	0.315474919975	0.296319171786	0.305182628334	0.306632038206	0.287395000458	0.306131072342	0.298148967326	0.29923883453	0.290487885475	0.275416076183	0.266666863114	0.257748685777	0.272272802889	0.22330763191	4.80287244916	6.9068736434	6.81612014771	6.81977188587	7.19651299715	7.17053222656	7.24057865143	7.23020374775	7.15604537725	7.23072999716	7.17746329308	7.14267957211	7.22222912312	7.15508025885	7.03770411015	7.11607158184	6.98774194717	6.9038824439	6.94599884748	7.00514143705	6.65988093615	0.00082507	0.00123151	0.00122323	0.0012384	0.00131188	0.00128215	0.00129964	0.00131184	0.00128891	0.0013013	0.00128256	0.00128485	0.00130572	0.00128518	0.00124858	0.00127144	0.0012683	0.00123445	0.00123877	0.00126712	0.00118107
flickr8k	merge	1	8	0.472719009966	0.447705946863	0.429947312921	0.426527269185	0.419882543385	0.407662712038	0.427760705352	0.420622438192	0.430914003402	0.424172822386	0.424875922501	0.415514174849	0.417903471738	0.405847229064	0.422080747783	0.414548318833	0.409549597651	0.405751205981	0.399941802025	0.403541825712	0.401206925511	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	9.46096676588	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198	0.00126198
