dataset_name	architecture	run	vocab_size	num_training_caps	mean_training_caps_len	num_params	geomean_pplx	num_inf_pplx	vocab_used	vocab_used_frac	mean_cap_len	num_existing_caps	num_existing_caps_frac	existing_caps_CIDEr	unigram_entropy	bigram_entropy	CIDEr	METEOR	ROUGE_L	Bleu_1	Bleu_2	Bleu_3	Bleu_4	R@1	R@5	R@10	median_rank	R@1_frac	R@5_frac	R@10_frac	median_rank_frac	num_epochs	training_time	total_time
flickr30k	merge	3	7415	145000	12.3150551724	3478007	22.0912196985	0	431	0.058125421443	10.705	64	0.064	0.59495987197	5.33713112346	7.12222895286	0.382136681064	0.174151871208	0.422446584815	0.612891172349	0.417794705949	0.278305539831	0.18547412015	242	513	625	5.0	0.242	0.513	0.625	0.005	8	2190	3358
mscoco	human	1	8792	414113	10.4662495502	0	1.0	0	3070	0.349181073703	10.4246	357	0.0714	2.80560349329	7.83295064432	11.9147360398	2.72581186558	1.0	1.0	1.0	1.0	1.0	1.0	1000	1000	1000	1.0	1.0	1.0	1.0	0.001	0	0	243
mscoco	init	1	8792	414113	10.4662495502	12683864	9.2842332803	0	633	0.0719972702457	9.157	2593	0.5186	0.877895160706	6.13652386888	8.79983682493	0.813430277545	0.224875007449	0.49802180597	0.677728067866	0.500682509673	0.367052145272	0.270762991472	291	646	783	3.0	0.291	0.646	0.783	0.003	7	7812	10934
mscoco	pre	1	8792	414113	10.4662495502	12683864	9.83113439242	0	578	0.0657415832575	9.1662	2613	0.5226	0.881871426436	6.09268514639	8.70210173269	0.801934874975	0.224303733433	0.495441612548	0.676439628468	0.50076396422	0.364959530119	0.266919574575	275	613	754	4.0	0.275	0.613	0.754	0.004	7	16160	19245
mscoco	par	1	8792	414113	10.4662495502	6149976	10.012406826	0	440	0.0500454959054	8.922	3127	0.6254	0.799361139597	5.86955668088	8.20881474571	0.777513464595	0.220308636061	0.494811444527	0.6699675378	0.49607108906	0.363571766973	0.269169813199	266	592	740	4.0	0.266	0.592	0.74	0.004	12	11164	15713
mscoco	merge	1	8792	414113	10.4662495502	4008152	10.3899774583	0	695	0.0790491355778	9.1658	2046	0.4092	0.866731320905	6.06817154992	8.74044334975	0.78052252047	0.220996905682	0.49171950526	0.677533947441	0.499730165945	0.359615181066	0.258354801414	278	621	751	3.0	0.278	0.621	0.751	0.003	9	5134	8148
mscoco	init	2	8792	414113	10.4662495502	12683864	9.22591931418	0	643	0.0731346678799	9.1724	2582	0.5164	0.879807895521	6.13225451255	8.7395442431	0.815411558768	0.225044939358	0.496664865705	0.676378617972	0.500284151384	0.365662648567	0.268224590192	301	642	770	3.0	0.301	0.642	0.77	0.003	9	9977	13036
mscoco	pre	2	8792	414113	10.4662495502	12683864	9.92791107024	0	562	0.0639217470428	9.0044	2540	0.508	0.879312857931	5.99590540916	8.58838957278	0.816638893849	0.224230150369	0.50035749805	0.680303216563	0.506012755806	0.369744177831	0.27024798055	279	599	750	4.0	0.279	0.599	0.75	0.004	6	13847	16886
mscoco	par	2	8792	414113	10.4662495502	6149976	10.1392812164	0	445	0.0506141947225	8.8942	3082	0.6164	0.801469655593	5.86772875969	8.2160269942	0.771252117095	0.217677096174	0.492655437947	0.668757153399	0.492422935842	0.359160723088	0.26391983553	276	576	739	4.0	0.276	0.576	0.739	0.004	9	8378	12906
mscoco	merge	2	8792	414113	10.4662495502	4008152	10.3572463757	0	707	0.0804140127389	9.1114	2054	0.4108	0.865147326994	6.10311926682	8.76794426148	0.787930890839	0.221371185139	0.492576076442	0.672179388762	0.496250311377	0.359580573114	0.259984714184	287	629	751	3.0	0.287	0.629	0.751	0.003	9	5124	8106
mscoco	init	3	8792	414113	10.4662495502	12683864	9.30054452123	0	638	0.0725659690628	9.2808	2607	0.5214	0.907341867687	6.11553484756	8.76567452529	0.825200007514	0.228981677625	0.502879842016	0.683848807776	0.50527315826	0.369763435045	0.273456743183	280	626	763	3.0	0.28	0.626	0.763	0.003	9	9974	13086
mscoco	pre	3	8792	414113	10.4662495502	12683864	9.87917333137	0	597	0.0679026387625	9.2628	2635	0.527	0.851575142038	6.10355166222	8.68029391024	0.803632129055	0.224144057269	0.497137215243	0.674935408446	0.497590282412	0.362819258401	0.265328142347	258	603	750	4.0	0.258	0.603	0.75	0.004	7	16151	19234
mscoco	par	3	8792	414113	10.4662495502	6149976	10.0606351575	0	435	0.0494767970883	9.0102	3200	0.64	0.781819603494	5.85075893692	8.15256093653	0.773219519051	0.220472825162	0.492696876222	0.662706851908	0.486062634213	0.354892109865	0.262022265363	273	584	719	4.0	0.273	0.584	0.719	0.004	11	10232	14734
mscoco	merge	3	8792	414113	10.4662495502	4008152	10.4498625496	0	685	0.0779117379436	9.1288	2040	0.408	0.893210327176	6.04707355291	8.70646014752	0.803932642143	0.223032122594	0.497230206472	0.679838904106	0.504485537779	0.366413107335	0.266374719003	295	617	741	3.0	0.295	0.617	0.741	0.003	8	4539	7562
