dataset_name	architecture	run	num_caps	cos_word0	cos_word1	cos_word2	cos_word3	cos_word4	cos_word5	cos_word6	cos_word7	cos_word8	cos_word9	cos_word10	euc_word0	euc_word1	euc_word2	euc_word3	euc_word4	euc_word5	euc_word6	euc_word7	euc_word8	euc_word9	euc_word10	meanerr_word0	meanerr_word1	meanerr_word2	meanerr_word3	meanerr_word4	meanerr_word5	meanerr_word6	meanerr_word7	meanerr_word8	meanerr_word9	meanerr_word10
flickr30k	init	3	20	0.414778713882	0.435146471858	0.355686733127	0.328201982379	0.30430124402	0.3042121768	0.326101006567	0.311504516006	0.288564255834	0.355525703728	0.262442070246	11.0556280136	11.1263209343	10.568130827	10.2235888958	9.89902791977	9.72694861889	9.85219697952	9.9925372839	9.87384598255	10.5764404297	9.60710120201	0.000712437	0.000715868	0.000661165	0.000634473	0.0006066	0.000595329	0.000609056	0.000620854	0.000608881	0.000672217	0.000590459
flickr30k	pre	3	20	0.478578750789	0.47290379256	0.367570523918	0.323723612726	0.301746764779	0.297133152187	0.315217021108	0.287791991234	0.277462530136	0.320560660958	0.245151272416	6.25110163689	6.289529109	6.18778510094	5.99262971878	5.89501843452	5.86288495064	5.84771163464	5.95109400749	5.7790941	5.94317650795	5.65005669594	0.0003992	0.000403817	0.00039903	0.000386334	0.000380595	0.000379352	0.000379794	0.000387436	0.000378225	0.000391536	0.000370041
flickr30k	par	3	20	0.246783944964	0.327205638587	0.244940584898	0.230092874169	0.233644416928	0.253056648374	0.278404803574	0.2500587672	0.251219505072	0.305372340977	0.220662951469	4.774365592	5.87321718931	5.61201705933	5.59006385803	5.62696261406	5.71227390766	5.91593616009	5.8769651413	5.8388967514	6.19166088104	5.65015227795	0.000819123	0.00105526	0.00100142	0.00100231	0.00101382	0.00103363	0.00107292	0.0010721	0.00105966	0.00114336	0.00103044
flickr30k	merge	3	20	0.568429850042	0.526853784919	0.499869947135	0.499231521785	0.490700888634	0.523946346343	0.50338344723	0.50750322938	0.514302483201	0.520068871975	0.498637907207	9.69452946186	9.69452946186	9.69452946186	9.69452946186	9.69452946186	9.69452946186	9.69452946186	9.69452946186	9.69452946186	9.69452946186	9.69452946186	0.00129967	0.00129967	0.00129967	0.00129967	0.00129967	0.00129967	0.00129967	0.00129967	0.00129967	0.00129967	0.00129967
flickr8k	init	1	119	0.28216854414	0.315517470366	0.328406606151	0.307083033213	0.309517968102	0.318150131893	0.322562965275	0.310833397032	0.294323645219	0.321031471511	0.301066255119	13.8053133828	14.2853406137	13.6054681489	12.9592052909	12.7306309989	12.6849853452	12.5237218753	12.2743663507	12.1351806216	12.3122909249	11.8900261126	0.000866679	0.000898369	0.00084218	0.000774406	0.000757138	0.000754595	0.000746717	0.00072468	0.000706892	0.000731078	0.000704952
flickr8k	pre	1	119	0.462111890066	0.540844785065	0.437077002365	0.3798382991	0.372330706911	0.37681294314	0.375880492835	0.344782814258	0.336129919821	0.38982188063	0.326010035116	7.61467322983	8.01863310117	7.7611730279	7.40847252597	7.36757725026	7.42933177748	7.37350125273	7.15815538919	7.1595136378	7.39271209821	6.96891608358	0.000501702	0.000535943	0.000518604	0.000493075	0.000490929	0.000495709	0.000494246	0.000478591	0.000477953	0.000498324	0.000467561
flickr8k	par	1	119	0.224517938971	0.409976274777	0.333638450428	0.307708131165	0.325367331004	0.347315973845	0.347955652646	0.320843883923	0.316903754443	0.393162688037	0.305756021948	5.1044077753	7.24391125631	7.14291671945	7.07019363932	7.33223102874	7.49897276454	7.54920798791	7.40359500677	7.45138378304	7.96290342347	7.37678635621	0.000901989	0.00130813	0.00128931	0.00127906	0.00133378	0.00137414	0.0013852	0.00135659	0.00136263	0.00147951	0.00134965
flickr8k	merge	1	119	0.507074704816	0.479500768064	0.467124377229	0.45501634153	0.458469679626	0.4536384001	0.459298511263	0.457581526091	0.447862704261	0.45869426542	0.460571036118	9.88024588994	9.88024588994	9.88024588994	9.88024588994	9.88024588994	9.88024588994	9.88024588994	9.88024588994	9.88024588994	9.88024588994	9.88024588994	0.00133278	0.00133278	0.00133278	0.00133278	0.00133278	0.00133278	0.00133278	0.00133278	0.00133278	0.00133278	0.00133278
flickr8k	init	2	119	0.291102638766	0.313328198525	0.321545741638	0.305665426895	0.312471276321	0.321863041455	0.327831510486	0.314075334733	0.297715742548	0.323900894958	0.302948923422	13.791953191	14.0581569031	13.4023106359	12.8595291667	12.6859335298	12.6646304251	12.5676327914	12.2839939414	12.1126158338	12.3018811731	11.9155576009	0.000868739	0.000883134	0.000825784	0.000768119	0.000754714	0.000754141	0.000750542	0.000728451	0.00070884	0.000734148	0.000706566
flickr8k	pre	2	119	0.451537873815	0.535928469245	0.435003783773	0.37505826354	0.372586992859	0.376253150591	0.37080668802	0.339979679645	0.326236826282	0.379421385396	0.315771107914	7.66048779608	8.05444373604	7.75643659239	7.3816427904	7.32542449887	7.34389382851	7.26653393176	7.08031574217	7.00913692522	7.2641738523	6.86615039721	0.000505738	0.000539592	0.000519457	0.000491837	0.000489644	0.000492278	0.00048818	0.000475078	0.000470292	0.000491096	0.000462061
flickr8k	par	2	119	0.226099504643	0.408453735734	0.334295351465	0.307810323579	0.311325138607	0.337499877986	0.340742897336	0.319171243105	0.313912824923	0.38967292975	0.307722745573	5.07824059094	7.30444745857	7.08575701914	7.01220858999	7.16203324134	7.39670347967	7.42580711541	7.32506919108	7.36571230608	7.90186900051	7.31562380029	0.000881342	0.00130259	0.00127393	0.00126239	0.0012949	0.00134449	0.00135871	0.00133446	0.001338	0.00146024	0.00133566
flickr8k	merge	2	119	0.499375997096	0.475930099227	0.461335587652	0.450766182998	0.45337733977	0.45076639512	0.458113424417	0.456929335574	0.447637296274	0.455902051024	0.456552538927	9.82338510241	9.82338510241	9.82338510241	9.82338510241	9.82338510241	9.82338510241	9.82338510241	9.82338510241	9.82338510241	9.82338510241	9.82338510241	0.00131628	0.00131628	0.00131628	0.00131628	0.00131628	0.00131628	0.00131628	0.00131628	0.00131628	0.00131628	0.00131628
flickr8k	init	3	119	0.293308723123	0.325235532111	0.318453207737	0.302793097596	0.314081164468	0.321019949783	0.327137742974	0.314150846055	0.299699279441	0.323335619283	0.296218554513	13.7851290663	14.1576084329	13.4859503978	12.9122983147	12.7730929271	12.6930384716	12.615441719	12.3672357727	12.2228741245	12.3361257465	11.9163425389	0.000853678	0.000882155	0.000823325	0.000765197	0.000757695	0.000754068	0.000751502	0.000731096	0.000713338	0.000733046	0.000702607
flickr8k	pre	3	119	0.493875564647	0.557830867772	0.452633615552	0.392824131902	0.38188540635	0.37690485801	0.375649633778	0.347914099944	0.33601788613	0.389339674671	0.326442786876	7.89177488279	8.23361740593	7.9745856774	7.6113993821	7.58317338318	7.61204493547	7.59053196627	7.38926147012	7.35530887732	7.61989787046	7.22984642542	0.000522431	0.000551362	0.000534756	0.000508193	0.000507565	0.000510021	0.000508845	0.000494364	0.000493448	0.000514621	0.000486404
flickr8k	par	3	119	0.21711695645	0.412138236921	0.333222672218	0.298499074553	0.319411771888	0.345349183103	0.349638283002	0.32310214814	0.319308485804	0.403183204286	0.312700459687	4.88450097837	7.19853037746	7.01722625524	6.86679614291	7.11995354821	7.33924463416	7.39816210851	7.27532758232	7.30956412965	7.88226171301	7.26394409292	0.000855656	0.00128784	0.00125869	0.00123492	0.00129021	0.00133502	0.00135258	0.00132691	0.00132938	0.00146573	0.00133117
flickr8k	merge	3	119	0.514744168069	0.483370552043	0.467768987688	0.458107527314	0.463654758299	0.460340471829	0.467630414903	0.467208949708	0.45788643841	0.469302487223	0.471312211717	10.043026828	10.043026828	10.043026828	10.043026828	10.043026828	10.043026828	10.043026828	10.043026828	10.043026828	10.043026828	10.043026828	0.00135478	0.00135478	0.00135478	0.00135478	0.00135478	0.00135478	0.00135478	0.00135478	0.00135478	0.00135478	0.00135478
