dataset_name	architecture	run	num_caps	cos_word0	cos_word1	cos_word2	cos_word3	cos_word4	cos_word5	cos_word6	cos_word7	cos_word8	cos_word9	cos_word10	cos_word11	cos_word12	cos_word13	cos_word14	cos_word15	euc_word0	euc_word1	euc_word2	euc_word3	euc_word4	euc_word5	euc_word6	euc_word7	euc_word8	euc_word9	euc_word10	euc_word11	euc_word12	euc_word13	euc_word14	euc_word15	meanerr_word0	meanerr_word1	meanerr_word2	meanerr_word3	meanerr_word4	meanerr_word5	meanerr_word6	meanerr_word7	meanerr_word8	meanerr_word9	meanerr_word10	meanerr_word11	meanerr_word12	meanerr_word13	meanerr_word14	meanerr_word15
flickr30k	init	1	85	0.402527735864	0.419581615574	0.334799677134	0.298264168641	0.298730284326	0.294489240646	0.288983058929	0.283256469404	0.284297581981	0.283524594587	0.279182854119	0.245839656101	0.24721973293	0.268109878722	0.276634030833	0.215888084734	10.9010930903	10.9370368509	10.2516715386	9.95611122917	9.76387570325	9.70808776407	9.60915774177	9.60089667825	9.59812737072	9.50724739748	9.50385206447	9.16006542094	9.08212133295	9.26392379088	9.41000822292	8.65152070102	0.000699361	0.000699307	0.000635484	0.000607249	0.000592978	0.000589084	0.000581563	0.000580087	0.000580624	0.000576391	0.000576448	0.000546232	0.000542169	0.000560174	0.000576335	0.000515033
flickr30k	pre	1	85	0.45882991938	0.468114050346	0.342082560062	0.299155864295	0.300389628901	0.292378289209	0.293289200699	0.282384881202	0.27905964045	0.276517738665	0.269449870902	0.237397393409	0.23801805377	0.247517938824	0.252963513837	0.204744655595	6.17969394011	6.16128863727	5.97654884563	5.76881888333	5.71904629539	5.70454336054	5.67984718435	5.65122361744	5.63116552689	5.56889414226	5.52493728469	5.39589094835	5.30633440579	5.3005914071	5.39247216617	5.16093228565	0.000393941	0.000398402	0.000385696	0.000371625	0.000370425	0.000371067	0.000370716	0.00036895	0.000368924	0.000365702	0.000363384	0.000353551	0.000347944	0.000348358	0.000356912	0.000339633
flickr30k	par	1	85	0.228468289796	0.310952408174	0.217638997821	0.200931990147	0.216195272698	0.219632840858	0.226538131167	0.224571340926	0.223852204575	0.228850749661	0.229475146532	0.212951126519	0.216184342258	0.226900421171	0.241534723955	0.190367554216	4.53478174771	5.63851669816	5.27863162826	5.20947778646	5.34642034138	5.42170321801	5.4589467245	5.487399752	5.46832350282	5.47198991776	5.51276848456	5.4432596964	5.41486896066	5.49121970289	5.62082518129	5.25786824507	0.000790348	0.00101124	0.000940136	0.000924073	0.00095738	0.000975437	0.000982543	0.000986796	0.000986599	0.000990467	0.000995055	0.000977983	0.000978414	0.000994903	0.00102402	0.000945093
flickr30k	merge	1	85	0.552644996783	0.517812342503	0.483632718114	0.484824253531	0.488245507899	0.48706149529	0.492966198571	0.491058111541	0.491440059157	0.495681513057	0.491547969159	0.484407862144	0.491856943159	0.489767168901	0.48505818388	0.487556345673	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	9.47876841601	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907	0.00129907
flickr30k	init	2	85	0.41214038344	0.425048293787	0.333701481188	0.299857293508	0.296714563931	0.292911037978	0.297503892113	0.292326866178	0.28546157304	0.285993971895	0.285599756241	0.248286230424	0.251350066942	0.267825544932	0.277937138782	0.221596199625	10.9388040991	10.9794654846	10.2292829233	9.93843458961	9.72429990768	9.67835455502	9.75253431657	9.74321009692	9.64129769942	9.54828764411	9.53155629775	9.18607714597	9.14148645401	9.26485308479	9.43914585675	8.77228220771	0.000702681	0.000701479	0.000632513	0.000602927	0.000586696	0.000582389	0.00058924	0.000589233	0.000581617	0.00057504	0.000574922	0.000543597	0.000543026	0.000555922	0.000572807	0.000517448
flickr30k	pre	2	85	0.467578216861	0.47283964122	0.351799822905	0.313442305256	0.309469338375	0.301735212522	0.296048807397	0.29235333064	0.283287382126	0.281309756812	0.273896920681	0.240632796989	0.23860667383	0.24826925467	0.252350523191	0.204548720051	6.40668746724	6.30226090936	6.10315713321	5.87490596771	5.80721631331	5.78522104936	5.73395106372	5.71752255384	5.64809223624	5.57448646602	5.52972634259	5.3846349015	5.2785349369	5.2681652041	5.32743550469	5.10626745785	0.000412531	0.00040957	0.000395916	0.000380507	0.000376696	0.000376669	0.000374444	0.000373727	0.000369273	0.00036477	0.000362343	0.000351074	0.000344673	0.00034523	0.000350745	0.000334693
flickr30k	par	2	85	0.232539694449	0.314531508965	0.227263063543	0.20648595866	0.216614492851	0.219145735572	0.226108974569	0.225727424201	0.227798105689	0.235102246439	0.228980101557	0.209859608903	0.219845520749	0.232502898048	0.246125820805	0.197425718868	4.5910816978	5.6268016142	5.30452535293	5.24318651031	5.33937288733	5.39518391665	5.44349381783	5.48688449299	5.50454515569	5.53136839306	5.52890514205	5.4173301809	5.49282521641	5.57482058862	5.66441865528	5.33093720324	0.00080644	0.00101407	0.000944829	0.000929597	0.000954533	0.000967332	0.000984069	0.000988399	0.000995125	0.00100199	0.00100338	0.000978354	0.000993295	0.00100912	0.00103512	0.000961882
flickr30k	merge	2	85	0.566633293208	0.533039736047	0.496761359187	0.494186455362	0.496364275147	0.496795571552	0.503348885564	0.49853563449	0.498860288017	0.502750907225	0.499724345698	0.487810085451	0.491407391254	0.493700482915	0.49457771708	0.488139936854	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	9.58381920983	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461	0.00130461
flickr30k	init	3	85	0.420801420773	0.448415392111	0.345867147165	0.302716150354	0.302079117999	0.298764248105	0.302470747864	0.292590902483	0.292089283466	0.295685007642	0.28866289854	0.253902263501	0.259729544205	0.273948059363	0.285379606485	0.230171762144	10.9910278825	11.0472157198	10.312216826	9.83342206057	9.64267542222	9.66104173099	9.73252001931	9.68802144668	9.62195191664	9.57591645858	9.51635873458	9.23795415093	9.17645378113	9.30642067404	9.47906667485	8.88190779966	0.000712347	0.000712914	0.000646611	0.000603752	0.000588457	0.000590682	0.000597776	0.000591613	0.000587945	0.000587334	0.000583588	0.000559122	0.000555403	0.000570328	0.000587001	0.000536932
flickr30k	pre	3	85	0.477086504067	0.471088480248	0.353495874826	0.309267458846	0.309902716034	0.299087261803	0.293850718526	0.286429631359	0.279618540932	0.281723039641	0.275755272893	0.246100295992	0.243578910477	0.251633694242	0.26569512241	0.216855566992	6.28430371004	6.23045897764	6.08227010615	5.84731170991	5.80463870553	5.75947914685	5.72709890814	5.7489847071	5.6962321618	5.65405926424	5.64172233694	5.51178788858	5.43406612452	5.42288805737	5.57326768146	5.28210393401	0.000404241	0.000404432	0.000393944	0.000378409	0.000376777	0.000374295	0.000372911	0.000374702	0.000372525	0.000370086	0.000369917	0.000361008	0.000356084	0.00035633	0.000367598	0.000346654
